# x,y
6.855729119358407786e+00,3.735315078869348770e+00
6.646499828665230147e+00,3.727664266157520334e+00
9.949847022341597125e+00,5.627612606537427453e+00
5.466244843176689017e+00,3.432382125257048777e+00
7.791622501806010348e+00,4.388388391381175424e+00
2.250664196961650099e+00,2.614645454088550203e+00
3.592671943073021623e+00,3.052402095595971865e+00
5.575566395951209842e+00,3.552973405300990706e+00
7.862265535342666034e+00,4.370216346115643802e+00
4.726529561856057882e+00,3.284064993478991834e+00
4.092734320068025511e+00,2.889136332034763832e+00
4.070406011752958353e-01,2.303165181091632707e+00
4.655908421255826823e+00,3.084663834483075462e+00
8.173127307464788771e+00,4.717705598578535664e+00
7.097395357772072977e+00,3.990506808326693022e+00
1.210952289921559677e+00,2.672720690195610427e+00
4.105213426431886248e+00,3.384171585046417352e+00
3.923834139946319688e+00,3.005039955539187790e+00
4.243653254542760322e+00,3.303480727458475208e+00
1.407086732057274414e+00,2.934395273843235508e+00
