# x1,y,standard deviation
1.150591211267945368e+01,-7.707848433478724814e+01,9.115220887509067893e+00
6.743921614833356948e+00,-4.857365361178425189e+01,6.905480582044535964e+00
6.494976016834907995e-02,2.321333683639897227e+00,1.402551422571186590e+00
1.557124948401895637e+01,-1.075078469115896098e+02,1.064470680263640290e+01
1.967653793968512232e+01,-1.647508719241273241e+02,1.199288615601795627e+01
1.942248126780140538e+01,-1.357632080993265902e+02,1.191388308827517406e+01
1.652098807315565665e+01,-1.244528288089504713e+02,1.097134128233434147e+01
1.988564954394113471e+01,-1.493700926547967356e+02,1.205752444905533594e+01
7.933769882712282673e+00,-6.979425383219789580e+01,7.518725428026989732e+00
6.874296567921116541e+00,-5.165093700905996599e+01,6.975306125557440673e+00
1.161120931600075679e+01,-8.634128830279954059e+01,9.158059417639352162e+00
1.985605915637871988e+01,-1.607568750131529214e+02,1.204839885546418543e+01
1.479043582636814946e+01,-1.081706769076830454e+02,1.036846459319730229e+01
5.609783477356908854e+00,-3.622041801241567072e+01,6.265321406549445804e+00
4.995718921488023767e+00,-3.382326513653381284e+01,5.889751574228429654e+00
1.494219948218369343e+00,-1.051865663344008262e+01,2.942504025323499750e+00
1.566998650798798565e+01,-1.194296502878715529e+02,1.067912981931038630e+01
4.856346983004932838e+00,-3.193826950695396505e+01,5.801125299547947201e+00
1.001814647151990645e+00,1.852816315012722370e+00,2.235551486738189375e+00
1.774179850062231978e+01,-1.246334793997799437e+02,1.137743725156621011e+01
7.036070188571461159e+00,-3.778049661769738066e+01,7.060988103366125479e+00
9.975910111567028338e+00,-6.317064272534238967e+01,8.468347592736826357e+00
1.571914996033783396e+01,-1.145894163947004643e+02,1.069622852388371115e+01
