x,y=x sin(x^2)
0.0,0.0
0.21419949910839498,0.009824330621340723
0.42839899821678995,0.07818161460474014
0.6425984973251849,0.2578730857495223
0.8567979964335799,0.5739872449527821
1.0709974955419748,0.9762667238175929
1.2851969946503699,1.2809899682306218
1.499396493758765,1.1683432617564897
1.7135959928671598,0.3491362462421486
1.9277954919755547,-1.0480832176256962
2.1419949910839495,-2.1254830705093197
2.356194490192345,-1.573964021309664
2.5703939893007397,0.8176794657761198
2.7845934884091346,2.770676353828119
2.99879298751753,1.2556089306910398
3.2129924866259247,-2.5139103598658745
3.4271919857343196,-2.5074732464613074
3.6413914848427145,2.3273079556234118
3.8555909839511093,2.877159682469683
4.069790483059505,-3.07156319902366
4.283989982167899,-2.0425126689259
4.498189481276294,4.420067541474555
4.71238898038469,-1.0074998645949829
